zipcode,luse1,luse2,luse3,luse4,luse5,luse6,hhsize2,income5,PREDICTED_size
53.0,6.50564,6.38816,6.20792,6.43957,6.65168,6.48124,0,0.0,15521.586921064689
53.0,5.89418,5.86877,6.06126,6.50646,6.36496,6.11443,1,0.0,12015.497196465602
53.0,5.50175,5.30673,5.0795,5.11381,5.15866,5.34066,0,0.0,17682.826153069604
49.0,5.55372,5.52593,5.6875,5.85121,6.11701,5.66586,1,0.0,12730.572148464773
1.0,5.78391,5.82433,6.12893,6.44286,6.65122,5.93316,1,0.0,11290.656454820799
42.0,5.47356,5.75067,6.0357,6.22098,6.20801,5.81314,0,0.0,2509.612070392983
54.0,5.46903,5.64084,5.61466,5.87954,6.22073,6.01374,0,0.0,10887.190608757306
15.0,6.4798,6.40069,6.43197,6.65818,6.60006,6.46283,0,0.0,13460.079235534922
15.0,6.65,6.66003,6.68481,6.78179,6.87705,6.56407,1,0.0,11077.100113145661
53.0,6.03349,5.96967,5.87331,5.56847,5.49094,6.02312,0,0.0,16906.24004531998
1.0,4.78682,4.8032,4.91372,5.20082,5.25498,4.81951,0,0.0,7711.540526381564
53.0,6.5907,6.56491,6.74116,7.27318,7.50078,7.04484,1,0.0,12390.79150955597
1.0,5.68424,5.79667,6.42513,6.93189,7.01537,6.00078,1,0.0,13692.8050944739
53.0,6.63719,6.56993,6.60433,6.86461,6.94659,6.73985,0,0.0,12399.022931015856
57.0,6.35135,6.31684,6.42578,6.63004,6.82832,6.39135,0,0.0,9641.953893245993
25.0,6.50174,6.47908,6.58124,6.7892,6.87004,6.6673,0,0.0,9104.502473846529
57.0,6.89047,7.15808,7.33832,7.50597,7.44503,6.83963,0,0.0,5361.067532456647
53.0,5.16225,5.31043,5.55922,6.02513,6.26323,5.43297,1,0.0,12253.34235538433
54.0,7.04714,6.6315,6.46919,6.62672,6.89822,6.41897,1,0.0,11458.80311236369
49.0,5.29154,5.40296,5.44777,5.42771,5.45774,5.32283,1,0.0,13117.814327429045
